"Feature","node/1848630911","charging_station","6","Clever","Point","xAxis","yAxis"
"Feature","node/3010069530","charging_station","2","E-On","Point","12,5557532","55,6842587"
"Feature","node/3010069531","charging_station","2","Delebilfonden","Point","12,5557991","55,6842812"
"Feature","node/3010069532","charging_station","2","E-On","Point","12,5716616","55,6847791"
"Feature","node/3010069933","charging_station","2","E-On","Point","12,5717193","55,6848264"
"Feature","node/3010069934","charging_station","2","E-On","Point","12,5822103","55,6869286"
"Feature","node/3010069935","charging_station","2","E-On","Point","12,5822554","55,68698"
"Feature","node/3010069936","charging_station","2","E-On","Point","12,5822984","55,687031"
"Feature","node/3010069937","charging_station","1","E-On","Point","12,5893003","55,6879268"
"Feature","node/3010069938","charging_station","2","E-On","Point","12,597296","55,6887058"
"Feature","node/3010069939","charging_station","2","E-On","Point","12,5973333","55,6887488"
"Feature","node/3010069940","charging_station","1","E-On","Point","12,5776767","55,6916537"
"Feature","node/3010069941","charging_station","1","E-On","Point","12,5777263","55,6916957"
"Feature","node/3010069942","charging_station","1","E-On","Point","12,577777","55,691737"
"Feature","node/3010069943","charging_station","1","E-On","Point","12,5611677","55,6923279"
"Feature","node/3010069944","charging_station","1","E-On","Point","12,5611682","55,6923526"
"Feature","node/3010069945","charging_station","1","E-On","Point","12,5611737","55,692377"
"Feature","node/3010069946","charging_station","2","E-On","Point","12,5870511","55,6932119"
"Feature","node/3010069947","charging_station","2","E-On","Point","12,5870022","55,6932529"
"Feature","node/3010069948","charging_station","2","E-On","Point","12,5447094","55,6938869"
"Feature","node/3010069949","charging_station","2","E-On","Point","12,5446565","55,6939235"
"Feature","node/3010069950","charging_station","2","E-On","Point","12,5522318","55,6947064"
"Feature","node/3010069951","charging_station","2","E-On","Point","12,5523279","55,6947286"
"Feature","node/3010069952","charging_station","2","E-On","Point","12,5703437","55,6964044"
"Feature","node/3010069953","charging_station","2","E-On","Point","12,5702936","55,6964355"
"Feature","node/3010069954","charging_station","2","E-On","Point","12,5879646","55,6964484"
"Feature","node/3010069955","charging_station","2","E-On","Point","12,5880475","55,6964615"
"Feature","node/3010069956","charging_station","2","E-On","Point","12,5881325","55,6964741"
"Feature","node/3010069957","charging_station","2","E-On","Point","12,5402277","55,6986168"
"Feature","node/3010069958","charging_station","2","E-On","Point","12,5862347","55,6990413"
"Feature","node/3010069959","charging_station","1","E-On","Point","12,5861948","55,6990973"
"Feature","node/3010069960","charging_station","1","E-On","Point","12,5861782","55,6991221"
"Feature","node/3010069961","charging_station","1","E-On","Point","12,5861596","55,699145"
"Feature","node/3010069962","charging_station","2","E-On","Point","12,5783239","55,6994462"
"Feature","node/3010069963","charging_station","2","E-On","Point","12,5784203","55,6994708"
"Feature","node/3010069964","charging_station","2","MoveAbout","Point","12,5812709","55,7014254"
"Feature","node/3010069967","charging_station","2","MoveAbout","Point","12,5804182","55,704847"
"Feature","node/3010069968","charging_station","2","E-On","Point","12,5897717","55,7061856"
"Feature","node/3010069969","charging_station","2","E-On","Point","12,589864","55,7061943"
"Feature","node/3010069970","charging_station","2","E-On","Point","12,5180718","55,7064613"
"Feature","node/3010069971","charging_station","2","E-On","Point","12,5179559","55,7064765"
"Feature","node/3010069972","charging_station","2","E-On","Point","12,5751062","55,708289"
"Feature","node/3010069973","charging_station","2","E-On","Point","12,5751619","55,7083216"
"Feature","node/3011939456","charging_station","","CLEVER A/S","Point","8,8664468","54,9338864"
"Feature","node/3016312139","charging_station","","eE4mobile eG","Point","8,9612546","54,9165815"
"Feature","node/3065331709","charging_station","26","Tesla Motors Inc.","Point","12,1630429","55,4890115"
"Feature","node/3270332266","charging_station","","Tesla Motors Inc.","Point","12,6131755","55,614675"
"Feature","node/3270354705","charging_station","6","Tesla Motors Inc.","Point","9,3610004","55,0673102"
"Feature","node/3437800274","charging_station","2","E.ON","Point","12,2313963","55,5606585"
"Feature","node/3471079426","charging_station","2","","Point","9,8765818","57,0858441"
"Feature","node/3471079427","charging_station","2","","Point","9,8766542","57,0858706"
"Feature","node/3471079428","charging_station","2","","Point","9,8767228","57,0858956"
"Feature","node/3474613609","charging_station","6","E.ON","Point","12,0657669","55,8378616"
"Feature","node/3479287961","charging_station","2","CLEVER","Point","12,0856983","55,8490158"
"Feature","node/3518098824","charging_station","1","Eon","Point","9,5630891","55,6404384"
"Feature","node/3533092958","charging_station","2","Aalborg Kongres & Kultur Center","Point","9,9149515","57,0440664"
"Feature","node/3714094557","charging_station","","","Point","10,5938479","55,8318371"
"Feature","node/3723463000","charging_station","3","Clever","Point","12,0652209","55,8478653"
"Feature","node/3841589199","charging_station","","Clever","Point","12,1573443","55,4867106"
"Feature","node/3867150462","charging_station","8","Tesla Motors Inc.","Point","11,898515","54,900385"
"Feature","node/3867166480","charging_station","6","Tesla Motors Inc.","Point","10,1387873","56,1780039"
"Feature","node/3993313057","charging_station","","Eon","Point","8,5243808","56,8442889"
"Feature","node/4007492306","charging_station","1","Private;Uffe Kjems","Point","12,5493573","55,7252442"
"Feature","node/4267719433","charging_station","","Förde Reederei Seetouristik GmbH","Point","8,5272164","55,0576153"
"Feature","node/4273746010","charging_station","10","Tesla Motors Inc.","Point","11,3617956","55,3868231"
"Feature","node/4275220081","charging_station","","","Point","9,6719234","56,3805179"
"Feature","node/4278263598","charging_station","","","Point","9,78814","54,9115485"
"Feature","node/4370376836","charging_station","","","Point","14,8027793","55,2778681"
"Feature","node/4387663611","charging_station","","","Point","9,8873045","55,8708962"
"Feature","node/4494319275","charging_station","2","E-on","Point","12,4984196","55,7050401"
"Feature","node/4494319276","charging_station","2","E-on","Point","12,4984384","55,7050068"
"Feature","node/4504190918","charging_station","2","E.ON","Point","12,5808434","55,7067316"
"Feature","node/4506468275","charging_station","2","E.ON","Point","12,5807244","55,7067322"
"Feature","node/4811895098","charging_station","2","http://www.intercharge.eu","Point","8,2357595","56,0944852"
"Feature","node/4960234643","charging_station","","Tesla","Point","9,6678983","55,7864289"
"Feature","node/4960520235","charging_station","2","Eon","Point","11,0879871","55,6797121"
"Feature","node/5012522699","charging_station","","","Point","8,4936885","55,9468627"
"Feature","node/5030781001","charging_station","","","Point","9,6720035","56,3805257"
"Feature","node/5133026005","charging_station","4","Clever","Point","8,757175","55,324665"
"Feature","node/5233357504","charging_station","2","","Point","9,6381382","56,1537237"
"Feature","node/5291201241","charging_station","4","EON","Point","12,5474326","55,674829"
"Feature","node/5370085162","charging_station","3","Clever","Point","10,4331991","55,3780641"
"Feature","node/5557098322","charging_station","2","E-On","Point","12,5766278","55,7201983"
"Feature","node/5557098332","charging_station","2","E-On","Point","12,5767201","55,720206"
"Feature","node/5627652858","charging_station","2","Clever","Point","9,6952119","56,7833177"
"Feature","node/5643394278","charging_station","2","Clever","Point","11,8616696","55,5912881"
"Feature","node/5670536520","charging_station","","","Point","10,2061228","56,1551127"
"Feature","node/5670537921","charging_station","","","Point","10,2011425","56,1546353"
"Feature","node/5670537922","charging_station","4","Clever","Point","10,1894369","56,1701794"
"Feature","node/5670573847","charging_station","","","Point","10,2076271","56,1938261"
"Feature","node/5670573848","charging_station","","","Point","10,1966785","56,1809817"
"Feature","node/5670573849","charging_station","6","e-on","Point","10,2111104","56,1697383"
"Feature","node/5670573850","charging_station","","","Point","10,1918228","56,1693283"
"Feature","node/5670573851","charging_station","","","Point","10,1863188","56,1665755"
"Feature","node/5670573852","charging_station","6","e-on","Point","10,1884669","56,1612892"
"Feature","node/5670573853","charging_station","6","e-on","Point","10,2019621","56,1614552"
"Feature","node/5670573854","charging_station","6","E-On","Point","10,198687","56,1580504"
"Feature","node/5670573855","charging_station","","","Point","10,2046094","56,1587446"
"Feature","node/5670573856","charging_station","","","Point","10,1845899","56,1596544"
"Feature","node/5670612197","charging_station","16","Tesla","Point","9,6907306","56,7834612"
"Feature","node/5670625624","charging_station","2","Clever","Point","10,2013769","56,1559288"
"Feature","node/5786397877","charging_station","2","E.ON","Point","12,5488546","55,7009897"
"Feature","node/5786397878","charging_station","2","E.ON","Point","12,5487998","55,7009606"
"Feature","node/5786397879","charging_station","2","E.ON","Point","12,5455166","55,7029351"
"Feature","node/5786397880","charging_station","2","E.ON","Point","12,5454474","55,7028939"
"Feature","node/5808132169","charging_station","","Clever","Point","9,9306397","56,0330132"
"Feature","node/5808132170","charging_station","","Clever","Point","9,9346879","57,0366189"
"Feature","node/5808132171","charging_station","","Clever","Point","9,9853264","57,5763745"
"Feature","node/5808132172","charging_station","","Clever","Point","9,4618613","55,5132561"
"Feature","node/5808132173","charging_station","","Clever","Point","9,3510919","54,8320328"
"Feature","node/5808132259","charging_station","","Clever","Point","9,9940096","57,4552404"
"Feature","node/5808132260","charging_station","","Clever","Point","9,3765695","55,216405"
"Feature","node/5808132456","charging_station","","Clever","Point","9,9992203","56,449477"
"Feature","node/5825575715","charging_station","2","","Point","10,0019175","56,4489874"
"Feature","node/5847388767","charging_station","","EasyPark","Point","9,3994407","55,514328"
"Feature","node/5847388768","charging_station","","EasyPark","Point","9,3949219","55,511888"
"Feature","node/5863479220","charging_station","","Clever","Point","8,8876064","57,0482415"
"Feature","node/5868965287","charging_station","2","Clever","Point","10,2429161","55,0940132"
"Feature","node/5911096791","charging_station","2","E.ON","Point","12,5287425","55,688724"
"Feature","node/5911096792","charging_station","2","E.ON","Point","12,5288501","55,688704"
"Feature","node/5911096793","charging_station","1","E.ON","Point","12,5402729","55,6985884"
"Feature","node/5911096794","charging_station","2","E.ON","Point","12,5407742","55,7004744"
"Feature","node/5911096795","charging_station","2","E.ON","Point","12,5408103","55,7005113"
"Feature","node/5919072739","charging_station","2","Comwell Hotel","Point","9,7870081","54,9058374"
"Feature","node/5926533533","charging_station","4","E-On","Point","12,5420771","55,6486415"
"Feature","node/5926759357","charging_station","2","E.ON","Point","12,5482707","55,7373236"
"Feature","node/5926759358","charging_station","2","E.ON","Point","12,5483317","55,7373504"
"Feature","node/5926759359","charging_station","1","Clever","Point","12,5483919","55,7373823"
"Feature","node/5936572854","charging_station","2","Clever","Point","10,8744387","56,4150042"
"Feature","node/5936572855","charging_station","2","Clever","Point","10,8744971","56,4149775"
"Feature","node/6004548803","charging_station","1","","Point","11,3792691","55,5104548"
"Feature","node/6066544907","charging_station","2","e-on","Point","9,797495","56,6323888"
"Feature","node/6066544908","charging_station","2","Clever","Point","9,8281546","56,6271432"
"Feature","node/6107238023","charging_station","2","EON","Point","9,8652013","55,9781232"
"Feature","node/6107238024","charging_station","2","","Point","9,8699874","55,978447"
"Feature","node/6113965436","charging_station","2","Clever","Point","9,5836776","55,7237847"
"Feature","node/6114546632","charging_station","","Clever","Point","9,7677845","55,5097653"
"Feature","node/6114556052","charging_station","","Clever","Point","11,3531578","55,3906986"
"Feature","node/6114558541","charging_station","","Clever","Point","12,2948545","55,5829066"
"Feature","node/6137482337","charging_station","2","E.ON","Point","10,1671713","56,1931184"
"Feature","node/6223787440","charging_station","","Ionity","Point","9,9786222","56,0681534"
"Feature","node/6363080952","charging_station","1","Lidl","Point","9,4164906","55,0353096"
"Feature","node/6432073371","charging_station","3","E.ON","Point","10,0761839","56,412357"
"Feature","node/6505632408","charging_station","","Clever","Point","12,6213082","55,6623141"
"Feature","node/6505632409","charging_station","","Clever","Point","12,6212499","55,6623141"
"Feature","node/6551516268","charging_station","2","EVBox","Point","12,5431287","55,7005103"
"Feature","node/6551516269","charging_station","2","EVBox","Point","12,5430919","55,7004728"
"Feature","node/6561394899","charging_station","","","Point","9,9418115","57,2219669"
"Feature","node/6604021029","charging_station","1","Hotel Svanen","Point","9,1334802","55,7291796"
"Feature","node/6605973467","charging_station","","","Point","9,3718332","55,2155932"
"Feature","node/6653386026","charging_station","2","","Point","12,5782141","55,6715866"
"Feature","node/6653386027","charging_station","2","","Point","12,5781329","55,6715386"
"Feature","node/6653386028","charging_station","2","","Point","12,5780568","55,671492"
"Feature","node/6718133172","charging_station","","E-on","Point","11,6071124","55,4552431"
"Feature","node/6724621985","charging_station","","Clever","Point","9,9610971","57,5904463"
"Feature","node/6735570061","charging_station","","","Point","9,7405019","56,8430077"
"Feature","node/6742125872","charging_station","3","e.On","Point","12,4604012","55,6454821"
"Feature","node/6756957218","charging_station","4","Powered by E.ON Drive & Clever","Point","9,7183631","55,5357496"
"Feature","node/6765927416","charging_station","2","Clever","Point","12,1938165","55,3016517"
"Feature","node/6801257540","charging_station","2","E-on","Point","10,6067722","55,0596796"
"Feature","node/6883664599","charging_station","","","Point","12,5946461","55,6879008"
"Feature","node/6883672207","charging_station","4","E.ON","Point","12,5635384","55,6831335"
"Feature","node/6987675726","charging_station","2","E.ON","Point","8,5321739","55,911377"
"Feature","node/6987675727","charging_station","2","E.ON","Point","8,5321102","55,9113717"
"Feature","node/7075218424","charging_station","50","IONITY","Point","12,6565998","55,6311128"
"Feature","node/7164302349","charging_station","","","Point","8,4674772","55,4627641"
"Feature","node/7164302350","charging_station","","","Point","8,4569343","55,5100465"
"Feature","node/7164302351","charging_station","","","Point","8,4454374","55,465685"
"Feature","node/7164302352","charging_station","","","Point","8,4839828","55,510749"
"Feature","node/7164302353","charging_station","","","Point","8,483958","55,5107322"
"Feature","node/7164302354","charging_station","","","Point","8,4839358","55,510714"
"Feature","node/7164302355","charging_station","","","Point","8,4839098","55,5106937"
"Feature","node/7164302356","charging_station","","","Point","8,4838962","55,5106789"
"Feature","node/7164302357","charging_station","","","Point","8,4838788","55,5106565"
"Feature","node/7164332238","charging_station","2","","Point","8,4526468","55,4651577"
"Feature","node/7166561721","charging_station","","","Point","12,5576253","55,6654081"
"Feature","node/7183922576","charging_station","","Clever","Point","10,5537561","56,4274688"
"Feature","node/7183922577","charging_station","","Clever","Point","10,5539208","56,4274591"
"Feature","node/7183922578","charging_station","","Clever","Point","10,5540878","56,4274488"
"Feature","node/7193899518","charging_station","","SEF","Point","10,6044593","55,0588454"
"Feature","node/7193899519","charging_station","2","Clever","Point","10,6039363","55,0583584"
"Feature","node/7193899520","charging_station","2","SEF","Point","10,6089212","55,0599572"
"Feature","node/7193899521","charging_station","","Clever","Point","10,615384","55,0639161"
"Feature","node/7195685546","charging_station","3","","Point","12,5851008","55,6832101"
"Feature","node/7197332082","charging_station","2","Ø Strøm","Point","10,6752286","54,751701"
"Feature","node/7197332083","charging_station","2","Ø Strøm","Point","10,6991742","54,8284887"
"Feature","node/7197332084","charging_station","2","Ø Strøm","Point","10,7170544","54,9356395"
"Feature","node/7197343085","charging_station","2","Ø Strøm","Point","10,8309004","54,9333559"
"Feature","node/7197343086","charging_station","2","Ø Strøm","Point","10,9023238","55,1350845"
"Feature","node/7197343087","charging_station","2","SEF","Point","10,6079365","55,0594389"
"Feature","node/7197343088","charging_station","1","SEF","Point","10,5786918","55,0571951"
